0.136: [GC 62976K->50510K(241408K), 0.0454350 secs]
0.256: [GC 113486K->101186K(304384K), 0.0564510 secs]
0.463: [GC 227138K->99097K(304384K), 0.0075840 secs]
0.612: [GC 225049K->203266K(455296K), 0.0959940 secs]
0.708: [Full GC 203266K->112332K(597376K), 1.4912600 secs]
2.484: [GC 364236K->321097K(597376K), 0.1673050 secs]
2.651: [Full GC 321097K->124453K(779264K), 1.5259510 secs]
4.276: [GC 376357K->332758K(1001664K), 0.1542740 secs]
4.539: [GC 602262K->359048K(1048896K), 0.1690870 secs]
4.810: [GC 628552K->381170K(1136064K), 0.1628250 secs]
